R.Time (min)	Intensity
0,00000	1
0,00833	1
0,01667	-0
0,02500	-1
0,03333	-1
0,04167	-2
0,05000	-2
0,05833	-3
0,06667	-3
0,07500	-2
0,08333	-2
0,09167	-2
0,10000	-1
0,10833	-1
0,11667	-1
0,12500	-0
0,13333	0
0,14167	1
0,15000	1
0,15833	1
0,16667	1
0,17500	2
0,18333	2
0,19167	2
0,20000	3
0,20833	3
0,21667	3
0,22500	3
0,23333	3
0,24167	3
0,25000	4
0,25833	4
0,26667	4
0,27500	4
0,28333	4
0,29167	4
0,30000	4
0,30833	4
0,31667	4
0,32500	4
0,33333	5
0,34167	5
0,35000	5
0,35833	6
0,36667	6
0,37500	6
0,38333	6
0,39167	6
0,40000	6
0,40833	5
0,41667	5
0,42500	4
0,43333	4
0,44167	3
0,45000	3
0,45833	3
0,46667	3
0,47500	3
0,48333	3
0,49167	3
0,50000	3
0,50833	3
0,51667	4
0,52500	4
0,53333	4
0,54167	4
0,55000	5
0,55833	5
0,56667	5
0,57500	5
0,58333	5
0,59167	5
0,60000	4
0,60833	4
0,61667	4
0,62500	4
0,63333	4
0,64167	4
0,65000	5
0,65833	5
0,66667	5
0,67500	6
0,68333	6
0,69167	6
0,70000	6
0,70833	6
0,71667	7
0,72500	7
0,73333	8
0,74167	8
0,75000	9
0,75833	9
0,76667	9
0,77500	9
0,78333	9
0,79167	9
0,80000	9
0,80833	9
0,81667	8
0,82500	8
0,83333	8
0,84167	8
0,85000	8
0,85833	8
0,86667	8
0,87500	8
0,88333	8
0,89167	8
0,90000	8
0,90833	8
0,91667	8
0,92500	8
0,93333	8
0,94167	8
0,95000	9
0,95833	8
0,96667	8
0,97500	8
0,98333	8
0,99167	9
1,00000	9
1,00833	9
1,01667	9
1,02500	8
1,03333	9
1,04167	9
1,05000	9
1,05833	9
1,06667	9
1,07500	9
1,08333	9
1,09167	9
1,10000	9
1,10833	9
1,11667	9
1,12500	9
1,13333	9
1,14167	9
1,15000	9
1,15833	9
1,16667	10
1,17500	10
1,18333	10
1,19167	10
1,20000	10
1,20833	11
1,21667	11
1,22500	11
1,23333	11
1,24167	12
1,25000	11
1,25833	11
1,26667	11
1,27500	11
1,28333	11
1,29167	11
1,30000	12
1,30833	11
1,31667	11
1,32500	11
1,33333	11
1,34167	11
1,35000	12
1,35833	12
1,36667	12
1,37500	11
1,38333	11
1,39167	11
1,40000	10
1,40833	11
1,41667	11
1,42500	11
1,43333	11
1,44167	11
1,45000	11
1,45833	11
1,46667	11
1,47500	11
1,48333	11
1,49167	11
1,50000	11
1,50833	11
1,51667	11
1,52500	11
1,53333	11
1,54167	11
1,55000	11
1,55833	11
1,56667	11
1,57500	12
1,58333	12
1,59167	13
1,60000	13
1,60833	13
1,61667	13
1,62500	13
1,63333	13
1,64167	13
1,65000	13
1,65833	14
1,66667	14
1,67500	14
1,68333	14
1,69167	13
1,70000	13
1,70833	13
1,71667	13
1,72500	14
1,73333	14
1,74167	14
1,75000	14
1,75833	14
1,76667	14
1,77500	14
1,78333	14
1,79167	14
1,80000	14
1,80833	14
1,81667	14
1,82500	14
1,83333	14
1,84167	14
1,85000	14
1,85833	14
1,86667	14
1,87500	14
1,88333	14
1,89167	15
1,90000	15
1,90833	15
1,91667	15
1,92500	15
1,93333	15
1,94167	15
1,95000	15
1,95833	15
1,96667	15
1,97500	15
1,98333	15
1,99167	16
2,00000	16
2,00833	16
2,01667	16
2,02500	16
2,03333	16
2,04167	15
2,05000	15
2,05833	15
2,06667	15
2,07500	15
2,08333	15
2,09167	15
2,10000	15
2,10833	15
2,11667	15
2,12500	16
2,13333	16
2,14167	15
2,15000	15
2,15833	15
2,16667	15
2,17500	15
2,18333	15
2,19167	15
2,20000	15
2,20833	16
2,21667	16
2,22500	16
2,23333	16
2,24167	16
2,25000	16
2,25833	16
2,26667	16
2,27500	16
2,28333	16
2,29167	16
2,30000	16
2,30833	16
2,31667	16
2,32500	16
2,33333	16
2,34167	17
2,35000	17
2,35833	17
2,36667	17
2,37500	17
2,38333	17
2,39167	17
2,40000	17
2,40833	16
2,41667	15
2,42500	15
2,43333	15
2,44167	15
2,45000	15
2,45833	15
2,46667	16
2,47500	16
2,48333	16
2,49167	16
2,50000	17
2,50833	17
2,51667	18
2,52500	18
2,53333	18
2,54167	18
2,55000	18
2,55833	18
2,56667	18
2,57500	18
2,58333	18
2,59167	18
2,60000	18
2,60833	18
2,61667	17
2,62500	17
2,63333	17
2,64167	17
2,65000	17
2,65833	17
2,66667	17
2,67500	17
2,68333	17
2,69167	17
2,70000	17
2,70833	18
2,71667	18
2,72500	18
2,73333	18
2,74167	18
2,75000	18
2,75833	18
2,76667	18
2,77500	19
2,78333	19
2,79167	19
2,80000	19
2,80833	19
2,81667	19
2,82500	19
2,83333	18
2,84167	18
2,85000	18
2,85833	18
2,86667	19
2,87500	19
2,88333	19
2,89167	19
2,90000	20
2,90833	20
2,91667	20
2,92500	20
2,93333	20
2,94167	19
2,95000	19
2,95833	19
2,96667	19
2,97500	19
2,98333	19
2,99167	19
3,00000	20
3,00833	20
3,01667	20
3,02500	20
3,03333	20
3,04167	20
3,05000	20
3,05833	20
3,06667	20
3,07500	19
3,08333	19
3,09167	19
3,10000	19
3,10833	19
3,11667	19
3,12500	19
3,13333	19
3,14167	19
3,15000	19
3,15833	20
3,16667	20
3,17500	20
3,18333	20
3,19167	20
3,20000	20
3,20833	20
3,21667	20
3,22500	20
3,23333	20
3,24167	20
3,25000	20
3,25833	20
3,26667	21
3,27500	21
3,28333	21
3,29167	21
3,30000	22
3,30833	22
3,31667	22
3,32500	21
3,33333	21
3,34167	21
3,35000	21
3,35833	21
3,36667	21
3,37500	21
3,38333	21
3,39167	21
3,40000	22
3,40833	22
3,41667	22
3,42500	22
3,43333	22
3,44167	22
3,45000	22
3,45833	22
3,46667	22
3,47500	22
3,48333	22
3,49167	22
3,50000	22
3,50833	22
3,51667	23
3,52500	23
3,53333	23
3,54167	23
3,55000	24
3,55833	24
3,56667	24
3,57500	24
3,58333	24
3,59167	23
3,60000	23
3,60833	23
3,61667	23
3,62500	23
3,63333	23
3,64167	23
3,65000	23
3,65833	24
3,66667	24
3,67500	25
3,68333	25
3,69167	25
3,70000	25
3,70833	26
3,71667	26
3,72500	26
3,73333	26
3,74167	26
3,75000	26
3,75833	26
3,76667	26
3,77500	26
3,78333	26
3,79167	26
3,80000	26
3,80833	27
3,81667	27
3,82500	27
3,83333	27
3,84167	27
3,85000	27
3,85833	27
3,86667	27
3,87500	27
3,88333	27
3,89167	27
3,90000	27
3,90833	28
3,91667	28
3,92500	28
3,93333	29
3,94167	29
3,95000	28
3,95833	28
3,96667	28
3,97500	28
3,98333	29
3,99167	29
4,00000	29
4,00833	29
4,01667	29
4,02500	29
4,03333	28
4,04167	29
4,05000	29
4,05833	29
4,06667	29
4,07500	28
4,08333	29
4,09167	29
4,10000	29
4,10833	29
4,11667	29
4,12500	29
4,13333	30
4,14167	30
4,15000	30
4,15833	30
4,16667	30
4,17500	29
4,18333	30
4,19167	30
4,20000	30
4,20833	30
4,21667	30
4,22500	30
4,23333	30
4,24167	30
4,25000	30
4,25833	30
4,26667	30
4,27500	30
4,28333	30
4,29167	29
4,30000	29
4,30833	29
4,31667	29
4,32500	29
4,33333	30
4,34167	30
4,35000	30
4,35833	30
4,36667	30
4,37500	30
4,38333	30
4,39167	30
4,40000	30
4,40833	30
4,41667	30
4,42500	30
4,43333	30
4,44167	30
4,45000	30
4,45833	30
4,46667	30
4,47500	31
4,48333	31
4,49167	31
4,50000	31
4,50833	31
4,51667	31
4,52500	31
4,53333	31
4,54167	31
4,55000	31
4,55833	31
4,56667	31
4,57500	30
4,58333	30
4,59167	30
4,60000	30
4,60833	30
4,61667	30
4,62500	31
4,63333	31
4,64167	31
4,65000	31
4,65833	31
4,66667	31
4,67500	31
